season,school,player_name,jersey_number,position,class_year,height,weight,hometown,high_school,profile_url,roster_url,team_record_2025,team_w_2025,team_l_2025,team_t_2025,name,swimcloud_url,swimcloud_50free_time,swimcloud_50free_course,swimcloud_50free_note,swimcloud_high_school,swimcloud_grad_year
2025,UCLA,Nate Tauscher,1,Goalkeeper,Redshirt Sophomore,6-3,,"Sunset Beach, Calif.",Mater Dei HS,https://uclabruins.com/sports/mens-water-polo/roster/nate-tauscher/15411,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Nate Tauscher,https://www.swimcloud.com/swimmer/504457/times/,,,ok;score=5;cand=Nate Tauscher;tried=1;parse=not_found,,
2025,UCLA,Joey Kent,1A,Goalkeeper,Redshirt Freshman,6-3,,"Huntington Beach, Calif.",JSerra Catholic HS,https://uclabruins.com/sports/mens-water-polo/roster/joey-kent/15401,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Joey Kent,,,,no_verified_candidate;tried=6,,
2025,UCLA,Nick Tovani,1B,Goalkeeper,Redshirt Freshman,6-3,,"Danville, Calif.",San Ramon Valley HS,https://uclabruins.com/sports/mens-water-polo/roster/nick-tovani/15412,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Nick Tovani,https://www.swimcloud.com/swimmer/1769908/times/,,,ok;score=14;cand=Nick Tovani;tried=1;parse=not_found,Home,
2025,UCLA,Harper Gardner,1C,Goalkeeper,Freshman,6-7,,"Sacramento, Calif.",Rio Americano HS,https://uclabruins.com/sports/mens-water-polo/roster/harper-gardner/15414,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Harper Gardner,,,,no_verified_candidate;tried=1,,
2025,UCLA,Frederico Juc Carsalade,2,Attacker,Redshirt Junior,5-11,,"Rio de Janeiro, Brazil",Escola Nova,https://uclabruins.com/sports/mens-water-polo/roster/frederico-juc-carsalade/15400,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Frederico Juc Carsalade,,,,no_verified_candidate;tried=1,,
2025,UCLA,Eli Liechty,3,Center,Redshirt Senior,6-6,,"Newport Beach, Calif.",Newport Harbor HS,https://uclabruins.com/sports/mens-water-polo/roster/eli-liechty/15404,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Eli Liechty,,,,no_verified_candidate;tried=1,,
2025,UCLA,Marcell Sz csi,4,Center,Junior,6-6,,"Budapest, Hungary",Kolping Katolikus Iskola,https://uclabruins.com/sports/mens-water-polo/roster/marcell-szcsi/15410,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Marcell Sz csi,,,,no_verified_candidate;tried=1,,
2025,UCLA,Wade Sherlock,5,Attacker,Junior,6-3,,"Long Beach, Calif.",Orange Lutheran HS,https://uclabruins.com/sports/mens-water-polo/roster/wade-sherlock/15408,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Wade Sherlock,https://www.swimcloud.com/swimmer/1803268/times/,22.37,SCY,ok;score=10;cand=Wade Sherlock;tried=1;parse=ok,(CA),
2025,UCLA,Ben Larsen,6,Utility,Redshirt Junior,6-7,,"Lafayette, Calif.",Campolindo HS,https://uclabruins.com/sports/mens-water-polo/roster/ben-larsen/15402,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Ben Larsen,https://www.swimcloud.com/swimmer/1255866/times/,50.26,SCY,ok;score=4;cand=Benjamin Larsen;tried=1;parse=ok,,
2025,UCLA,Alex Heenan,7,Attacker,Redshirt Freshman,6-3,,"Los Angeles, Calif.",Harvard-Westlake School,https://uclabruins.com/sports/mens-water-polo/roster/alex-heenan/15399,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Alex Heenan,https://www.swimcloud.com/swimmer/758106/times/,33.34,LCM,ok;score=4;cand=Alex Heenan;tried=1;parse=ok,,
2025,UCLA,Peter Castillo,8,Utility,Sophomore,6-4,,"Costa Mesa, Calif.",Newport Harbor HS,https://uclabruins.com/sports/mens-water-polo/roster/peter-castillo/15395,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Peter Castillo,,,,no_verified_candidate;tried=2,,
2025,UCLA,Gray Carson,9,Utility,Senior,6-4,,"Long Beach, Calif.",Woodrow Wilson HS,https://uclabruins.com/sports/mens-water-polo/roster/gray-carson/15394,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Gray Carson,https://www.swimcloud.com/swimmer/1099838/times/,21.17,SCY,ok;score=12;cand=Gray Carson;tried=1;parse=ok,(CA),
